date,name,symbol,type,price,quantity,note
2026-04-20,NTT,9432.T,sell,153.5,30,
2026-04-20,robot home,1435.T,buy,224.7,100,
2026-04-20,イオレ,2334.T,buy,432.5,100,
2026-04-20,北の達人コーポレーション,2930.T,buy,138.7,100,
2026-04-20,Aiming,3911.T,buy,192.4,100,
2026-04-21,三菱UFJフィナンシャル・グループ,8306.T,sell,2863.5,25,
2026-04-21,三菱UFJフィナンシャル・グループ,8306.T,sell,2853.5,100,
2026-04-21,ソフトバンク,9434.T,sell,222.9,200,
2026-04-21,グロースエクスパートナーズ,244A.T,buy,1154,100,
2026-04-21,ENEOSホールディングス,5020.T,buy,1339.4,100,
2026-04-21,イオン,8267.T,buy,1693.5,100,
2026-04-23,イオン,8267.T,sell,1596.1,100,
2026-04-23,ENEOSホールディングス,5020.T,buy,1296,100,
2026-04-23,NTT,9432.T,buy,151.4,200,
2026-04-23,NTT,9432.T,buy,151.4,100,
2026-04-24,robot home,1435.T,sell,207.2,100,
2026-04-24,グロースエクスパートナーズ,244A.T,sell,1086.5,100,
2026-04-24,乃村工藝社,9716.T,sell,1154.9,100,
2026-04-27,新日本電工,5563.T,sell,422.2,100,
2026-04-27,マミヤ・オーピー,7991.T,sell,1262,100,
2026-04-27,キヤノン,7751.T,buy,4005,25,
2026-04-28,キヤノン,7751.T,buy,4092,75,
2026-04-28,NTT,9432.T,buy,150.7,100,
2026-04-30,イオレ,2334.T,sell,487,100,
2026-04-30,北の達人コーポレーション,2930.T,sell,131,100,
2026-04-30,ENEOSホールディングス,5020.T,sell,1279,100,
2026-04-30,東京汽船,9193.T,sell,1030,100,
2026-04-30,イオレ,2334.T,buy,470,100,
2026-04-30,NTT,9432.T,buy,150.7,200,
2026-05-07,Aiming,3911.T,sell,177.6,100,
2026-05-08,イオレ,2334.T,sell,520,100,
2026-05-12,ENEOSホールディングス,5020.T,sell,1364.7,100,
2026-05-12,キヤノン,7751.T,sell,4111.3,100,
